#OTU ID	Blank2	Blank3	NTC1	NTC2	R1	R10	R11	R12	R13	R14	R15	R16	R2	R3	R4	R5	R6	R7	R8	R9	taxonomy
39ca3139a409e8f7ffef442f4b338520	45	0	0	0	2	6	0	0	596	0	1477	4187	2161	329	458	2391	5404	3740	1291	10	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
0bcac0a11ae7e70dc956ee20654208a9	120	0	0	0	162	2204	602	725	4000	1602	533	670	13	871	861	130	418	783	655	2136	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum
2cf0590d5a5d70d4d65a785d2ea2ce62	0	0	0	0	0	0	0	0	835	0	192	3435	5	109	374	306	2802	3274	2773	0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes;s__Synergistes jonesii
643eb6bbe63abcb04f91fde078ef4cf7	0	0	0	0	0	0	0	0	757	0	170	187	481	2065	1813	357	710	1609	526	0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella sp003458855
7dd1e3f54cfb535f6fca82366414fdb7	0	0	0	0	235	126	150	215	4766	0	147	319	0	0	58	124	164	192	195	122	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A
c347860abfcfc7a256624e940cec7ae2	0	0	0	0	0	0	0	0	0	0	219	84	448	0	0	248	529	2327	1272	0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus sp900314165
12cb376c08ad79b892ffcdf4a82d9eca	0	0	0	0	0	0	0	0	0	1660	85	0	0	0	0	0	0	0	0	2631	d__Bacteria
fa5719c1a839f6c2431b7e76b200ffc4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1556	2419	0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium
86e10260c2ba16b6877f0ffb21d0fe2d	12	0	0	0	64	1093	278	613	35	680	14	10	15	18	0	0	38	88	65	802	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum
2b7c1cbc9921f055149a6ad1e96ce507	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	1898	1726	0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Synergistes;s__Synergistes jonesii
0bf5f7a082a269a1ee51a24f1e4bd6b7	0	0	0	0	0	0	0	0	0	0	0	0	0	22	112	52	95	3210	151	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides heparinolyticus
fb7f42b7818ceb4ea31a60726ee54875	0	0	0	0	106	924	559	1033	0	60	0	0	0	0	0	0	0	0	0	879	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__UBA71
02b7ac31964575f438c63baffc8dfa94	0	0	0	0	0	0	0	0	1781	0	134	140	60	533	408	53	84	253	103	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella
8f462fd05d6303b73f8cb861c5bdf373	0	0	0	0	0	0	0	0	99	0	41	86	251	1125	774	127	357	455	179	0	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella multacida
