MAG	site	mag_for_isolation
20100900_E1D_11	STM	no
20100900_E1D_17	STM	no
20100900_E1S_1	STM	no
20100900_E2D_3	STM	no
20100900_E3D_15	STM	no
20100900_E3D_21	STM	no
20100900_E3D_5	STM	no
20100900_E3D_6	STM	no
20110600_E1D_2	STM	no
20110600_E2D_6	STM	no
20110600_E3D_3	STM	no
20110600_E3M_2	STM	no
20110600_E3M_5	STM	no
20110600_E3S_3	STM	no
20110600_S2D_10	STM	no
20110600_S3M_15	STM	no
20110600_S3M_16	STM	no
20110700_E1D_2	STM	no
20110700_E1M_1	STM	no
20110700_E2D_8	STM	no
20110700_E2M_5	STM	no
20110700_E3M_8	STM	no
20110700_S2D_21	STM	no
20110700_S2D_7	STM	no
20110700_S2M_10	STM	no
20110800_E1M_1	STM	no
20110800_E1M_2	STM	no
20110800_E1M_4	STM	no
20110800_E1S_1	STM	no
20110800_E1S_4	STM	no
20110800_E1S_5	STM	no
20110800_E1S_6	STM	no
20110800_E2D_16	STM	no
20110800_E2D_21	STM	no
20110800_E2M_11	STM	no
20110800_E2M_7	STM	no
20110800_E2M_9	STM	no
20110800_E2S_11	STM	no
20110800_E2S_7	STM	no
20110800_E2S_8	STM	no
20110800_E2S_9	STM	no
20110800_E3D_10	STM	no
20110800_E3D_36	STM	no
20110800_E3D_39	STM	no
20110800_S1D_12	STM	no
20110800_S1M_28	STM	no
20110800_S2D_12	STM	no
20110800_S2D_14	STM	no
20110800_S2M_10	STM	no
20110800_S3D_12	STM	no
20110800_S3D_8	STM	no
20110800_S3M_12	STM	no
20111000_E2D_5	STM	no
20111000_E3D_6	STM	no
20111000_S2D_4	STM	no
20120500_P19_2	STM	no
20120500_P28_13	STM	no
20120600_E1D_22	STM	no
20120600_E1D_45	STM	no
20120600_E1D_57	STM	no
20120600_E1D_58	STM	no
20120600_E2D_10	STM	no
20120600_E2D_39	STM	no
20120600_E2D_40	STM	no
20120600_E2D_42	STM	no
20120600_E2D_50	STM	no
20120600_E2D_58	STM	no
20120600_E3D_10	STM	no
20120600_E3D_12	STM	no
20120600_E3D_43	STM	no
20120600_E3M_1	STM	no
20120600_S2D_10	STM	no
20120600_S2D_7	STM	no
20120700_E1M_1	STM	no
20120700_E1S_2	STM	no
20120700_E1X_4	STM	no
20120700_E2D_9	STM	no
20120700_E3M_5	STM	no
20120700_P3D_99	STM	no
20120700_S1D_23	STM	no
20120700_S1D_59	STM	no
20120700_S1X_13	STM	no
20120700_S2X_11	STM	no
20120700_S3D_1	STM	no
20120700_S3X_23	STM	no
20120800_E1X_16	STM	no
