feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__4572.78..f__J111..g__DSQQ01	Treatment	ST	-3.80143930806271	0.480766373355653	23	12	9.92736570510392e-08	6.94915599357275e-05
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Burkholderiales..f__Usitatibacteraceae..g__FEB.7	Treatment	ST	4.70730989520722	0.626877790954475	23	17	2.23819563496856e-07	7.83368472238995e-05
d__Bacteria..p__Methylomirabilota..c__Methylomirabilia..o__Rokubacteriales..f__CSP1.6..g__AR5	Treatment	ST	-2.38669234031488	0.393300566657487	23	18	5.06420553051553e-06	0.00118164795712029
d__Bacteria..p__Chloroflexota..c__Dehalococcoidia..o__Tepidiformales..f__Tepidiformaceae..NA	Treatment	ST	-2.18299017868671	0.387895782470055	23	11	1.38373865199683e-05	0.00193723411279556
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Isosphaerales..f__Isosphaeraceae..g__Singulisphaera	Treatment	ST	-2.18551487076822	0.387791689521674	23	14	1.35838943494512e-05	0.00193723411279556
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Cytophagales..f__Hymenobacteraceae..g__Pontibacter	Treatment	ST	-2.02474228338423	0.378457489789507	23	11	2.63555209814341e-05	0.00307481078116731
d__Bacteria..p__Chloroflexota..c__Dehalococcoidia..o__WHTO01..f__WHTO01..g__WHTO01	Treatment	ST	-2.7315771167983	0.519169925383225	23	10	3.24143842096703e-05	0.00324143842096703
d__Bacteria..p__Desulfobacterota_B..c__Binatia..o__UBA9968..f__UBA9968..g__DP.1	Treatment	ST	-2.46495295979813	0.516715122381698	23	14	0.00010324585106826	0.00803023286086469
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Aestuariivirgaceae..g__Nordella	Treatment	ST	-3.33626438192737	0.693791042205963	23	15	9.42665901227446e-05	0.00803023286086469
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Xanthobacteraceae..g__Z2.YC6860	Treatment	ST	-1.83973514780633	0.395476319261706	23	10	0.000136858213445753	0.00870915903745699
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Erythrobacter	Treatment	ST	2.62942011642399	0.562741289149889	23	15	0.000130315795386663	0.00870915903745699
d__Bacteria..p__Verrucomicrobiota..c__Verrucomicrobiae..o__Verrucomicrobiales..f__V1.33..g__CAJBME01	Treatment	ST	-3.26047594850615	0.70930600817538	23	10	0.00015610891992085	0.00910635366204958
d__Bacteria..p__Chloroflexota..c__Dehalococcoidia..NA..NA..NA	Treatment	ST	-2.27274109491245	0.504028185239288	23	11	0.000192369678345719	0.0103583672955387
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Pirellulales..f__Lacipirellulaceae..NA	Treatment	ST	-2.58044330749366	0.578077484897067	23	21	0.000214352528568366	0.0107176264284183
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Mycobacteriales..f__Micromonosporaceae..g__Catellatospora	Treatment	ST	-1.74832411646113	0.399221921047201	23	10	0.000262311965590943	0.0122412250609107
d__Archaea..p__Thermoproteota..c__Nitrososphaeria..o__Nitrososphaerales..f__Nitrososphaeraceae..g__Nitrososphaera	Treatment	ST	-2.47920969432882	0.575195491815173	23	23	0.000309449715272727	0.0135384250431818
