name	number_unique_genes	number_multiple_genes	number_multiple_unique_genes	number_missing_genes	list_unique_genes	list_multiple_genes	list_multiple_unique_genes	list_missing_genes
20100900_E1D_11	17	2	0	101	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00392,TIGR00398,TIGR00431,TIGR00435,TIGR00442,TIGR00456,TIGR00755,TIGR00928,TIGR02350,TIGR02397	TIGR00065,TIGR00631		PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00344,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E1D_17	18	0	0	102	PF00380.20,PF00410.20,PF01025.20,TIGR00065,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00414,TIGR00431,TIGR00456,TIGR00468,TIGR00755,TIGR00928,TIGR00967,TIGR01059,TIGR01063,TIGR02350			PF00466.21,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00064,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00416,TIGR00420,TIGR00435,TIGR00436,TIGR00442,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E1S_1	20	1	0	99	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00398,TIGR00431,TIGR00442,TIGR00456,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967,TIGR02350,TIGR02397	TIGR00065		PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00435,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E2D_3	19	1	0	100	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00431,TIGR00435,TIGR00442,TIGR00456,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967,TIGR02350	TIGR00065		PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E3D_15	21	0	0	99	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00065,TIGR00337,TIGR00344,TIGR00392,TIGR00398,TIGR00431,TIGR00435,TIGR00442,TIGR00755,TIGR00967,TIGR01039,TIGR01059,TIGR01063,TIGR01146,TIGR01171,TIGR02350			PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00194,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00468,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00631,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00928,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01044,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01164,TIGR01169,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E3D_21	19	0	0	101	PF01025.20,TIGR00064,TIGR00065,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00398,TIGR00414,TIGR00435,TIGR00442,TIGR00456,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR01302,TIGR02191,TIGR02350			PF00380.20,PF00410.20,PF00466.21,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00416,TIGR00420,TIGR00431,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR00967,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E3D_5	23	0	0	97	PF00380.20,PF00410.20,PF01025.20,TIGR00064,TIGR00065,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00398,TIGR00431,TIGR00435,TIGR00442,TIGR00456,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967,TIGR01302,TIGR02191,TIGR02350,TIGR02397			PF00466.21,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02273,TIGR02386,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20100900_E3D_6	18	1	0	101	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00431,TIGR00435,TIGR00442,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967,TIGR02350	TIGR00065		PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20110600_E1D_2	16	2	0	102	PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00398,TIGR00431,TIGR00442,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967	TIGR00065,TIGR00456		PF00380.20,PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00414,TIGR00416,TIGR00420,TIGR00435,TIGR00436,TIGR00445,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02350,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
20110600_E2D_6	18	1	0	101	PF00380.20,PF00410.20,PF00466.21,PF01025.20,TIGR00064,TIGR00194,TIGR00337,TIGR00344,TIGR00392,TIGR00431,TIGR00435,TIGR00442,TIGR00468,TIGR00631,TIGR00755,TIGR00928,TIGR00967,TIGR02350	TIGR00065		PF02576.18,PF03726.15,TIGR00006,TIGR00019,TIGR00020,TIGR00029,TIGR00043,TIGR00054,TIGR00059,TIGR00061,TIGR00082,TIGR00083,TIGR00084,TIGR00086,TIGR00088,TIGR00090,TIGR00092,TIGR00095,TIGR00115,TIGR00116,TIGR00138,TIGR00158,TIGR00166,TIGR00168,TIGR00186,TIGR00250,TIGR00362,TIGR00382,TIGR00396,TIGR00398,TIGR00414,TIGR00416,TIGR00420,TIGR00436,TIGR00445,TIGR00456,TIGR00459,TIGR00460,TIGR00472,TIGR00487,TIGR00496,TIGR00539,TIGR00580,TIGR00593,TIGR00615,TIGR00634,TIGR00635,TIGR00643,TIGR00663,TIGR00717,TIGR00810,TIGR00922,TIGR00959,TIGR00963,TIGR00964,TIGR01009,TIGR01011,TIGR01017,TIGR01021,TIGR01029,TIGR01032,TIGR01039,TIGR01044,TIGR01059,TIGR01063,TIGR01066,TIGR01071,TIGR01079,TIGR01082,TIGR01087,TIGR01128,TIGR01146,TIGR01164,TIGR01169,TIGR01171,TIGR01302,TIGR01391,TIGR01393,TIGR01394,TIGR01510,TIGR01632,TIGR01951,TIGR01953,TIGR02012,TIGR02013,TIGR02027,TIGR02075,TIGR02191,TIGR02273,TIGR02386,TIGR02397,TIGR02432,TIGR02729,TIGR03263,TIGR03594,TIGR03625,TIGR03632,TIGR03654,TIGR03723,TIGR03725,TIGR03953
