gene_id,gene_description,module,(Rumen 1),Rumen 2,Rumen 3,Rumen 4,Wetland 1,Wetland 2
METHYL_0013,BcoA; gamma-butyrobetainyl-CoA synthetase,Methyl-N,1,1,0,0,1,1
K16178,MtbB; dimethylamine methyltransferase,Methyl-N,0,0,2,2,0,0
K16179,MtbC; dimethylamine corrinoid binding protein,Methyl-N,0,0,2,2,0,0
K16176,MtmB; monomethylamine methyltransferase,Methyl-N,7,0,8,8,2,0
K14082,MtbA; methylamine methylcorrinoid:CoM methyltransferase [EC:2.1.1.247],Methyl-N,0,0,0,0,1,0
METHYL_0012,RamA; methylamine corrinoid binding protein reductive activase,Methyl-N,2,0,0,0,0,1
K14080,MV10360; methanogenic glycine betaine specific methylcorrinoid:CoM methyltransferase [EC:2.1.1.377],Methyl-N,1,3,1,1,2,2
K14083,"MttB/MtxB; Trimethylamine methyltransferase [EC:2.1.1.250], potentially a quaternary amine enzyme if lacking pyrrolysine",Methyl-N,4,0,4,4,0,0
K14084,MttC; trimethylamine corrinoid binding protein [EC:2.1.1.247],Methyl-N,3,1,5,5,1,0
METHYL_0001,MtgC; Quaternary amine/glycine betaine corrinoid binding protein,Methyl-N,2,0,6,6,1,0
METHYL_0002,MtgA; Quaternary amine/glycine betaine specific methylcorrinoid:THF methyltransferase,Methyl-N,0,0,0,0,0,1
METHYL_0003,MV8460; methanogenic glycine betaine:corrinoid methyltransferase,Methyl-N,1,0,2,2,0,0
METHYL_0004,MV8465; methanogenic glycine betaine corrinoid binding protein,Methyl-N,2,0,4,4,1,0
METHYL_0005,MV10335/RamM; methanogenic corrinoid-protein reductive activase,Methyl-N,0,1,0,1,0,0
METHYL_0011,RamQ; quaternary amine promiscuous corrinoid protein reductive activase,Methyl-N,0,1,0,0,0,0
K04480,MtaB; methanol:corrinoid methyltransferase [EC:2.1.1.90],Methyl-O,0,1,2,3,1,0
K14080,MtaA; methanol specific methylcorrinoid:CoM methyltransferase [EC:2.1.1.246],Methyl-O,1,3,1,1,2,2
K14081,MtaC; methanol corrinoid binding protein,Methyl-O,0,1,2,3,1,0
METHYL_0039,"SECO (secoisolariciresinol) corrinoid methyltransferase, E. limosum ZL-II, ELI_2003",Methyl-O,0,1,2,2,1,0
METHYL_0044,MtoA; methoxy specific methylcorrinoid:H4MPT methyltranferase (AF_0009),Methyl-O,0,0,0,0,1,0
METHYL_0048,"reductivase activase, D. hafniense DCB2, AE, Dhaf_2573",Methyl-O,0,0,0,0,0,1
PF00111,Odmc; methoxy-specific reductivase activase/Activating Enzyme ,Methyl-O,0,1,0,0,0,1
PF00809,OdmD; vanillate specific methylcorrinoid:THF methyltransferase,Methyl-O,1,0,0,0,1,1
PF01208,MtvB; vanillate methyltransferase/O-demethytlase,Methyl-O,2,3,4,4,8,5
PF01208,MtoB; methoxy corrinoid methyltransferase,Methyl-O,2,3,4,4,8,5
PF14574,Odmc; methoxy-specific reductivase activase/Activating Enzyme ,Methyl-O,3,1,2,3,2,3
PF17651,Odmc; methoxy-specific reductivase activase/Activating Enzyme ,Methyl-O,3,2,2,3,2,3
METHYL_0026,"MtsB; methylsulfide (DMS, MMPA) corrinoid binding protein",Methyl-S,1,1,3,4,1,0
METHYL_0027,"dimethylsulfide:corrinoid methyltransferase, MtsD",Methyl-S,0,1,0,0,1,0
METHYL_0028,"methanethiol:corrinoid methyltransferase, MtsF",Methyl-S,0,0,1,1,1,3
METHYL_0030,"methylmercaptopropionate:corrinoid methyltransferase (MT1/2), MtpA",Methyl-S,1,0,2,2,2,2
METHYL_0032,RamS; reductive activase,Methyl-S,1,0,2,2,2,1
